Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,5274,141,,5133,51.0,66.69845192,39985.0,751.0,2.673492605,84000051,USA,505.6764505,14.23966629
04-13,5747,149,,5598.0,51.0,72.68031915095425,41401.0,1238.0,2.592657038454846,84000051,USA,523.5841122618161,21.541673916826173
04-14,6182,154,721.0,6028.0,51.0,78.18161354,42763.0,1282.0,2.491103203,84000051,USA,540.8088547,20.73762536
04-15,6500,195,752.0,6305.0,51.0,82.20324943121675,44169.0,1298.0,3.0,84000051,USA,558.5900498657559,19.96923076923077
04-16,6889,208,951.0,6681.0,51.0,87.12279774333109,46444.0,1337.0,3.0193061402235446,84000051,USA,587.3611871666816,19.407751487879228
04-17,7491,231,1110.0,7260.0,51.0,94.73608330603764,48997.0,1308.0,3.0837004405286343,84000051,USA,619.6480942125119,17.460953143772528
04-18,8053,258,1228.0,7795.0,51.0,101.84350271839823,51931.0,1307.0,3.203774990686701,84000051,USA,656.7533763403873,16.229976406308207
04-19,8542,277,1267.0,8265.0,51.0,108.02771640637744,54733.0,1422.0,3.242800280964645,84000051,USA,692.189300172121,16.64715523296652
04-20,8990,300,1324.0,8690.0,51.0,113.69341729025207,56735.0,1500.0,3.3370411568409337,84000051,USA,717.5079009969357,16.685205784204673
04-21,9630,324,1418.0,9306.0,51.0,121.78727569578727,58354.0,1581.0,3.364485981308411,84000051,USA,737.9828334321879,16.417445482866043
04-22,10266,349,1497.0,9917.0,51.0,129.83054748628786,58354.0,1581.0,3.399571400740308,84000051,USA,737.9828334321879,15.400350672121569
04-23,10998,373,1567.0,10625.0,51.0,139.08789803761874,64518.0,1753.0,3.391525731951264,84000051,USA,815.9368072004988,15.939261683942535
04-24,11594,411,1672.0,11183.0,51.0,146.6253036777734,69440.0,1837.0,3.5449370363981365,84000051,USA,878.1836370005677,15.844402277039848
04-25,12366,437,1717.0,11929.0,51.0,156.3885203794502,72178.0,1942.0,3.5338832282063724,84000051,USA,912.810174991748,15.704350638848455
04-26,12970,449,1815.0,12521.0,51.0,164.02709924967402,76118.0,2014.0,3.4618350038550503,84000051,USA,962.637990800824,15.528141865844256
04-27,13538,460,1843.0,13078.0,51.0,171.2103985845865,80679.0,3298.0,3.3978431082877827,84000051,USA,1020.3193785940207,24.361057763332838
04-28,14339,492,1914.0,13847.0,51.0,181.34036824526413,82753.0,3422.0,3.4312016179649905,84000051,USA,1046.5485384894582,23.864983611130487
04-29,14962,522,2042.0,14440.0,51.0,189.21923353690232,85940.0,3608.0,3.488838390589493,84000051,USA,1086.8534240182719,24.114423205453814
04-30,15847,552,2104,13191.0,51,200.41152211330643,91509.0,3654.0,3.483309143686502,84000051,USA,1157.2826388001868,23.057992048968263
05-01,16902,581,2196,14125.0,51,213.75374182868083,105648.0,3654.0,3.4374630221275586,84000051,USA,1336.093676293721,21.61874334398296
05-02,17738,617,2312,14809.0,51,224.3263443709112,113202.0,3738.0,3.4784079377607395,84000051,USA,1431.6264987865536,21.073401736385158
05-03,18672,660,2497,15515.0,51,236.1383189814891,108002.0,3910.0,3.5347043701799485,84000051,USA,1365.8638992415802,20.940445586975148
05-04,19493,684,2547,16262.0,51,246.5212217173397,112293.0,4010.0,3.5089519314625766,84000051,USA,1420.130690519942,20.571487200533525
05-05,20257,713,2617.0,16927.0,51,256.1832651889473,113708.0,4113.0,3.5197709433775977,84000051,USA,1438.0257055884301,20.304092412499386
05-06,20257,713,2617.0,16927.0,51,256.1832651889473,113708.0,4113.0,3.5197709433775977,84000051,USA,1438.0257055884301,20.304092412499386
05-07,21570,769,2825.0,17976.0,51,272.7883215740531,123152.0,4438.0,3.5651367640241074,84000051,USA,1557.4607036851087,20.57487250811312
05-08,22342,812,2997.0,18533.0,51,282.55153827572985,129945.0,4622.0,3.6344105272580784,84000051,USA,1643.3694226676093,20.687494405156208
05-09,23196,827,3124.0,19245.0,51,293.35178058561587,137149.0,4717.0,3.5652698741162268,84000051,USA,1734.4759163449148,20.335402655630286
05-10,24081,839,3201.0,20041.0,51,304.5440691620201,143055.0,4756.0,3.4840745816203644,84000051,USA,1809.167053443494,19.75001038162867
05-11,25070,850,3273.0,20947.0,51,317.0516097293237,150617.0,4777.0,3.3905065815716,84000051,USA,1904.8010491663958,19.054646988432392
05-12,25800,892,3400.0,21508.0,51,326.28366697313726,155329.0,4929.0,3.4573643410852712,84000051,USA,1964.3920816771488,19.1046511627907
05-13,26746,928,3554.0,22264.0,51,338.24740142881893,161392.0,5080.0,3.469677708816272,84000051,USA,2041.0687434158358,18.99349435429597
05-14,27813,956,3678.0,23179.0,51,325.85013283902236,166830.0,5211.0,3.4372415776795022,84000051,USA,1954.538441071949,18.73584295113796
05-15,28672,978,3805.0,23889.0,51,335.91396141230547,178014.0,5316.0,3.4109933035714284,84000051,USA,2085.5673802612355,18.540736607142858
05-16,29683,1003,3909.0,24771.0,51,347.75858386584343,185568.0,5414.0,3.379038506889465,84000051,USA,2174.0681498102226,18.239396287437245
05-17,30388,1010,3993.0,25385.0,51,356.01818706044713,190361.0,5517.0,3.323680400157957,84000051,USA,2230.2217357843147,18.155192839278666
05-18,31140,1015,4107.0,26018.0,51,364.82843046802424,196226.0,5609.0,3.2594733461785483,84000051,USA,2298.93460491389,18.012202954399488
05-19,32145,1042,4271.0,26832.0,51,376.6027584262889,202789.0,5768.0,3.2415616736662,84000051,USA,2375.8250669935833,17.94369264271271
05-20,32908,1075,4523.0,27310.0,51,385.5418750752005,212626.0,6059.0,3.2666828734654185,84000051,USA,2491.072891994031,18.411936307280904
05-21,34137,1100,4778.0,28259.0,51,399.9405308569989,218599.0,6269.0,3.2223101034068606,84000051,USA,2561.051062038524,18.364238216597823
05-22,34950,1136,4963.0,28851.0,51,409.4654349665205,225175.0,6422.0,3.2503576537911303,84000051,USA,2638.0938288579755,18.37482117310444
05-23,35749,1159,5047.0,29543.0,51,418.8263185870713,232470.0,6431.0,3.242048728635766,84000051,USA,2723.560219361002,17.989314386416407
05-24,36244,1171,5102.0,29971.0,51,424.6256144471121,244085.0,6453.0,3.230879593863812,84000051,USA,2859.638646460748,17.804326233307577
05-25,37727,1208,5145.0,31374.0,51,442.00007052881034,258750.0,6521.0,3.201950857476078,84000051,USA,3031.450108657716,17.284703262915155
05-26,39342,1236,5227.0,32879.0,51,460.9210055065193,267181.0,6630.0,3.1416806466371816,84000051,USA,3130.2255902658057,16.852219002592648
05-27,40249,1281,5367.0,33601.0,51,471.54719004198813,277047.0,6826.0,3.182687768640214,84000051,USA,3245.813171993408,16.959427563417727
05-28,41401,1338,5472.0,34591.0,51,485.04373313444677,287281.0,6974.0,3.2318059950242746,84000051,USA,3365.712149431101,16.845003743870922
05-29,42533,1358,5648.0,35527.0,51,498.30596124266134,298377.0,7172.0,3.192814990713093,84000051,USA,3495.710102689713,16.862201114428796
05-30,43611,1370,5745.0,36496.0,51,510.935538893417,305512.0,7216.0,3.141409277475866,84000051,USA,3579.301973318787,16.546284194354634
05-31,44607,1375,5868.0,37364.0,51,522.6044251087719,315391.0,7326.0,3.082475844598381,84000051,USA,3695.041859786148,16.423431300020177
06-01,45398,1392,5899.0,38107.0,51,531.8715827356251,324719.0,7326.0,3.0662143706771223,84000051,USA,3804.3263684375843,16.137274769813647
06-02,46239,1407,6011.0,38821.0,51,541.7245278230886,328889.0,7373.0,3.0428858755595924,84000051,USA,3853.181042652474,15.945414044421375
06-03,46905,1428,6165.0,39312.0,51,549.5272167984161,342387.0,7476.0,3.0444515510073558,84000051,USA,4011.3202255188003,15.938599296450274
06-04,47856,1445,6284.0,40127.0,51,560.6688942992218,353590.0,7550.0,3.019475091942494,84000051,USA,4142.571763943119,15.776496155132065
06-05,48532,1454,6392.0,40686.0,51,568.5887407666715,363770.0,7597.0,2.995961427511745,84000051,USA,4261.838090923352,15.653589384323745
06-06,49397,1461,6382.0,41554.0,51,578.7228638352277,371131.0,7553.0,2.957669494098832,84000051,USA,4348.077720874384,15.290402251148855
06-07,50681,1472,6538.0,42671.0,51,578.7228638352277,379816.0,7724.0,2.957669494098832,84000051,USA,4449.829002782373,15.636577120068019
06-08,51251,1477,6557.0,43217.0,51,600.4438628746535,383592.0,7730.0,2.88189498741488,84000051,USA,4494.067671807655,15.082632533999336
06-09,51738,1496,6677.0,43565.0,51,606.1494327409968,390856.0,7846.0,2.8914917468785037,84000051,USA,4579.170874085103,15.164869148401566
