Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,633,19,266.0,614,23.0,53.91795272,6721.0,120.0,3.0015797789999996,84000023,USA,572.4842974,18.95734597
04-13,698,19,273.0,679.0,23.0,59.45455133960132,12306.0,124.0,2.722063037249284,84000023,USA,1048.2058865116533,17.76504297994269
04-14,735,20,292.0,715.0,23.0,62.60615363,12342.0,124.0,2.721088435,84000023,USA,1051.27231,16.870748300000002
04-15,770,24,305.0,746.0,23.0,65.58739904225362,14846.0,126.0,3.116883116883117,84000023,USA,1264.5591249107754,16.363636363636363
04-16,796,27,333.0,769.0,23.0,67.8020384904336,14872.0,130.0,3.391959798994975,84000023,USA,1266.7737643589555,16.331658291457288
04-17,827,29,352.0,798.0,23.0,70.44257014018667,14903.0,133.0,3.5066505441354288,84000023,USA,1269.4142960087086,16.08222490931076
04-18,847,32,382.0,815.0,23.0,72.14613894647898,14923.0,136.0,3.7780401416765055,84000023,USA,1271.117864815001,16.056670602125152
04-19,867,34,393.0,833.0,23.0,73.84970775277128,14943.0,136.0,3.92156862745098,84000023,USA,1272.8214336212932,15.68627450980392
04-20,875,35,414.0,840.0,23.0,74.53113527528821,14951.0,138.0,4.0,84000023,USA,1273.5028611438104,15.771428571428574
04-21,888,36,443.0,852.0,23.0,75.6384549993782,14964.0,139.0,4.0540540540540535,84000023,USA,1274.6101808679002,15.653153153153156
04-22,907,39,455.0,868.0,23.0,77.25684536535589,17691.0,144.0,4.299889746416759,84000023,USA,1506.8917876058554,15.87651598676957
04-23,937,44,485.0,893.0,23.0,79.81219857479434,17721.0,150.0,4.6958377801494136,84000023,USA,1509.4471408152938,16.008537886873
04-24,965,47,499.0,918.0,23.0,82.19719490360356,17749.0,152.0,4.870466321243524,84000023,USA,1511.8321371441034,15.751295336787564
04-25,965,47,519.0,918.0,23.0,82.19719490360356,17774.0,156.0,4.870466321243524,84000023,USA,1513.9615981519685,16.165803108808287
04-26,1015,50,532.0,965.0,23.0,86.45611691933432,17799.0,159.0,4.9261083743842375,84000023,USA,1516.091059159834,15.665024630541874
04-27,1023,51,549.0,972.0,23.0,87.13754444185123,17807.0,161.0,4.98533724340176,84000023,USA,1516.7724866823507,15.73802541544477
04-28,1040,51,585.0,989.0,23.0,88.58557792719971,17824.0,163.0,4.903846153846153,84000023,USA,1518.2205201676993,15.673076923076925
04-29,1056,52,615.0,1004.0,23.0,89.94843297223352,20602.0,166.0,4.924242424242424,84000023,USA,1754.8462273617001,15.719696969696967
04-30,1095,53,631,411.0,23,93.27039214450352,20641.0,170.0,4.840182648401827,84000023,USA,1758.1681865339701,15.525114155251144
05-01,1123,55,657,411.0,23,95.65538847331274,20669.0,177.0,4.8975957257346385,84000023,USA,1760.5531828627793,15.761353517364205
05-02,1153,56,689,408.0,23,98.21074168275119,20698.0,181.0,4.856895056374674,84000023,USA,1763.023357631903,15.69817866435386
05-03,1185,57,706,422.0,23,100.93645177281887,20731.0,183.0,4.810126582278482,84000023,USA,1765.8342461622854,15.443037974683545
05-04,1205,57,720,428.0,23,102.6400205791112,20751.0,186.0,4.7302904564315345,84000023,USA,1767.5378149685778,15.435684647302905
05-05,1226,61,741.0,424.0,23,104.4287678257181,20772.0,187.0,4.975530179445351,84000023,USA,1769.3265622151846,15.252854812398045
05-06,1254,62,766.0,426.0,23,106.81376415452732,23346.0,191.0,4.944178628389155,84000023,USA,1988.575867585004,15.231259968102071
05-07,1330,62,787.0,481.0,23,113.28732561843805,23422.0,192.0,4.661654135338347,84000023,USA,1995.0494290489146,14.436090225563907
05-08,1374,63,836.0,475.0,23,117.03517699228114,23466.0,194.0,4.585152838427947,84000023,USA,1998.7972804227575,14.119359534206696
05-09,1408,64,857.0,487.0,23,119.93124396297804,23500.0,198.0,4.545454545454546,84000023,USA,2001.6933473934546,14.0625
05-10,1436,64,861.0,511.0,23,122.31624029178728,23528.0,199.0,4.456824512534818,84000023,USA,2004.0783437222642,13.857938718662954
05-11,1462,65,872.0,525.0,23,124.53087973996728,23554.0,200.0,4.4459644322845415,84000023,USA,2006.2929831704441,13.679890560875512
05-12,1477,65,913.0,499.0,23,125.8085563446865,23569.0,202.0,4.400812457684496,84000023,USA,2007.570659775163,13.676371022342586
05-13,1515,66,943.0,506.0,23,129.04533707664186,23607.0,204.0,4.356435643564357,84000023,USA,2010.8074405071186,13.465346534653465
05-14,1565,69,958.0,538.0,23,116.42508770937916,23657.0,207.0,4.4089456869009584,84000023,USA,1759.9158466075294,13.226837060702875
05-15,1603,69,993.0,541.0,23,119.25202274641201,23695.0,211.0,4.304429195258891,84000023,USA,1762.742781644562,13.162819713038054
05-16,1648,70,1012.0,566.0,23,122.59970897447724,23740.0,214.0,4.247572815533982,84000023,USA,1766.0904678726272,12.985436893203886
05-17,1687,70,1028.0,589.0,23,125.50103703880043,23779.0,216.0,4.149377593360996,84000023,USA,1768.9917959369504,12.803793716656788
05-18,1713,71,1053.0,589.0,23,127.43525574834923,23805.0,223.0,4.144775248102744,84000023,USA,1770.9260146464994,13.018096906012845
05-19,1741,73,1088.0,580.0,23,129.5182605124787,23833.0,225.0,4.192992533026996,84000023,USA,1773.0090194106288,12.923607122343483
05-20,1819,73,1100.0,646.0,23,135.32091664112505,37269.0,231.0,4.013194062671799,84000023,USA,2772.553734083612,12.699285321605275
05-21,1877,73,1145.0,659.0,23,139.6357122239647,37327.0,235.0,3.8891848694725626,84000023,USA,2776.868529666452,12.519978689397973
05-22,1948,75,1192.0,681.0,23,144.9176171615787,37398.0,240.0,3.850102669404517,84000023,USA,2782.1504346040656,12.320328542094455
05-23,2013,77,1232.0,704.0,23,149.75316393545066,37463.0,243.0,3.8251366120218577,84000023,USA,2786.9859813779376,12.071535022354697
05-24,2055,78,1263.0,714.0,23,152.87767108164485,37505.0,252.0,3.7956204379562037,84000023,USA,2790.110488524132,12.262773722627735
05-25,2074,78,1290.0,706.0,23,154.29113860016128,37524.0,257.0,3.7608486017357765,84000023,USA,2791.5239560426476,12.391513982642238
