Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,730,6,197.0,724,46.0,99.19933903,8553.0,43.0,0.8219178079999999,84000046,USA,1162.262941,5.890410959
04-13,868,6,207.0,862.0,46.0,117.95209079593201,9002.0,44.0,0.6912442396313364,84000046,USA,1223.2773287384562,5.0691244239631335
04-14,988,6,261.0,982.0,46.0,134.25883149999999,9296.0,45.0,0.607287449,84000046,USA,1263.2288429999999,4.55465587
04-15,1168,6,329.0,1162.0,46.0,158.7189424535122,9859.0,51.0,0.5136986301369864,84000046,USA,1339.7346349736106,4.366438356164384
04-16,1311,7,373.0,1304.0,46.0,178.15114174362546,10550.0,55.0,0.5339435545385202,84000046,USA,1433.6342832915698,4.195270785659802
04-17,1411,7,457.0,1404.0,46.0,191.7400922961521,11062.0,63.0,0.4961020552799433,84000046,USA,1503.209710120507,4.4649184975194895
04-18,1542,7,552.0,1535.0,46.0,209.54161751996216,11660.0,68.0,0.4539559014267186,84000046,USA,1584.4716344246167,4.409857328145267
04-19,1635,7,646.0,1628.0,46.0,222.179341533812,12062.0,74.0,0.4281345565749236,84000046,USA,1639.0992156457742,4.525993883792049
04-20,1685,7,709.0,1678.0,46.0,228.97381681007542,12326.0,87.0,0.41543026706231456,84000046,USA,1674.974045104445,5.163204747774481
04-21,1755,8,824.0,1747.0,46.0,238.4860821968441,12815.0,100.0,0.4558404558404559,84000046,USA,1741.4240133063004,5.698005698005698
04-22,1858,9,937.0,1849.0,46.0,252.48270126594662,13446.0,111.0,0.4843918191603875,84000046,USA,1827.1702912927442,5.974165769644777
04-23,1956,9,1064.0,1947.0,46.0,265.79987280742284,14065.0,119.0,0.4601226993865031,84000046,USA,1911.2858952128845,6.083844580777097
04-24,2040,10,1190.0,2030.0,46.0,277.2145912715453,14824.0,124.0,0.4901960784313725,84000046,USA,2014.4260299065625,6.078431372549018
04-25,2147,10,1223.0,2137.0,46.0,291.75476836274885,15596.0,128.0,0.4657661853749418,84000046,USA,2119.3327281720685,5.961807172799254
04-26,2212,11,1257.0,2201.0,46.0,300.58758622189123,16274.0,135.0,0.4972875226039783,84000046,USA,2211.4658129182003,6.1030741410488245
04-27,2244,11,1316.0,2233.0,46.0,304.9360503986998,16375.0,150.0,0.4901960784313725,84000046,USA,2225.1906529762523,6.684491978609627
04-28,2313,11,1392.0,2302.0,46.0,314.3124262799432,16612.0,157.0,0.4755728491137051,84000046,USA,2257.3964657857405,6.787721573713792
04-29,2373,13,1492.0,2360.0,46.0,322.4657966114592,16833.0,165.0,0.5478297513695743,84000046,USA,2287.428046506825,6.95322376738306
04-30,2449,17,1573,859.0,46,332.79339903137964,17028.0,173.0,0.69416088199265,84000046,USA,2313.9265000842515,7.0641077991016745
05-01,2525,21,1686,818.0,46,343.12100145129995,17363.0,179.0,0.8316831683168316,84000046,USA,2359.449484435216,7.089108910891089
05-02,2588,21,1759,808.0,46,351.68204029939176,18091.0,187.0,0.8114374034003091,84000046,USA,2458.377044457611,7.225656877897991
05-03,2631,21,1799,811.0,46,357.5252890369783,18417.0,197.0,0.7981755986316991,84000046,USA,2502.677023258848,7.487647282402128
05-04,2668,21,1830,817.0,46,362.5532007414132,18713.0,211.0,0.7871064467766117,84000046,USA,2542.9003168943273,7.908545727136433
05-05,2721,24,1895.0,802.0,46,369.75534453425234,19022.0,220.0,0.8820286659316428,84000046,USA,2584.8901741016343,8.085262771040059
05-06,2780,29,1977.0,774.0,46,377.77282536024313,19416.0,230.0,1.0431654676258992,84000046,USA,2638.4306392785893,8.273381294964029
05-07,2906,31,2028.0,847.0,46,394.89490305642687,20114.0,236.0,1.0667584308327598,84000046,USA,2733.281514135226,8.121128699242945
05-08,3145,31,2069.0,1045.0,46,427.3724948769656,21293.0,247.0,0.985691573926868,84000046,USA,2893.4952411495165,7.853736089030208
05-09,3393,34,2125.0,1234.0,46,461.07309224723195,22952.0,253.0,1.0020630710285885,84000046,USA,3118.935930815935,7.4565281461833175
05-10,3517,34,2147.0,1336.0,46,477.923390932365,23894.0,261.0,0.9667330110889965,84000046,USA,3246.943845020737,7.421097526300825
05-11,3614,34,2187.0,1393.0,46,491.104672968316,24578.0,263.0,0.9407858328721638,84000046,USA,3339.89226680002,7.277255118981737
05-12,3663,39,2309.0,1315.0,46,497.7632587390541,25197.0,271.0,1.0647010647010646,84000046,USA,3424.00787072016,7.398307398307399
05-13,3732,39,2367.0,1326.0,46,507.1396346202976,25844.0,281.0,1.045016077170418,84000046,USA,3511.928380795008,7.529474812433013
05-14,3792,43,2437.0,1312.0,46,428.6397357625932,26473.0,290.0,1.1339662447257384,84000046,USA,2992.4524590831043,7.647679324894514
05-15,3887,44,2574.0,1269.0,46,439.37833673765823,27414.0,296.0,1.1319783895034732,84000046,USA,3098.821127688748,7.615127347568818
05-16,3959,44,2673.0,1242.0,46,447.51706589770754,28176.0,304.0,1.111391765597373,84000046,USA,3184.956011299269,7.678706744127305
05-17,3987,44,2724.0,1219.0,46,450.6821272377266,28559.0,312.0,1.1035866566340606,84000046,USA,3228.2495289145313,7.825432656132429
05-18,4027,44,2784.0,1199.0,46,455.203643437754,29045.0,316.0,1.0926247827166626,84000046,USA,3283.1859507448635,7.847032530419668
05-19,4085,46,2914.0,1125.0,46,461.7598419277937,29709.0,327.0,1.1260709914320686,84000046,USA,3358.243119665317,8.004895960832313
05-20,4177,46,3023.0,1108.0,46,472.15932918785654,30389.0,333.0,1.1012688532439552,84000046,USA,3435.1088950657827,7.972228872396458
05-21,4177,48,3145.0,984.0,46,472.15932918785654,31301.0,342.0,1.1491501077328226,84000046,USA,3538.1994644264064,8.187694517596361
05-22,4356,50,3267.0,1039.0,46,492.393114182979,32344.0,351.0,1.1478420569329657,84000046,USA,3656.0979993421192,8.057851239669423
05-23,4464,50,3336.0,1078.0,46,504.6012079230528,33528.0,358.0,1.1200716845878136,84000046,USA,3789.934878862929,8.019713261648745
05-24,4563,50,3371.0,1142.0,46,515.7919605181205,34905.0,364.0,1.0957703265395573,84000046,USA,3945.588074048871,7.977207977207978
05-25,4586,50,3415.0,1121.0,46,518.3918323331362,35283.0,370.0,1.0902747492368077,84000046,USA,3988.3164021391294,8.068033144352377
05-26,4653,50,3528.0,1075.0,46,525.9653719681821,37038.0,378.0,1.0745755426606491,84000046,USA,4186.697925415329,8.123791102514506
05-27,4710,54,3619.0,1037.0,46,532.4085325532211,38006.0,391.0,1.1464968152866242,84000046,USA,4296.118617455992,8.301486199575372
05-28,4793,54,3698.0,1041.0,46,541.7906786682778,39026.0,406.0,1.1266430210723972,84000046,USA,4411.417280556689,8.470686417692468
05-29,4866,59,3744.0,1063.0,46,550.0424457333278,40682.0,418.0,1.2124948623099054,84000046,USA,4598.608051237821,8.590217838060008
05-30,4960,62,3805.0,1093.0,46,560.668008803392,42938.0,427.0,1.25,84000046,USA,4853.6215649193655,8.608870967741936
05-31,4993,62,3837.0,1094.0,46,564.3982596684148,44128.0,432.0,1.2417384338073305,84000046,USA,4988.136671870178,8.652112958141398
06-01,5034,62,3903.0,1069.0,46,569.0328137734426,45661.0,435.0,1.2316249503377037,84000046,USA,5161.423780236227,8.64123957091776
06-02,5067,62,3990.0,1015.0,46,572.7630646384653,46846.0,443.0,1.2236037102822184,84000046,USA,5295.373697662037,8.742845865403591
06-03,5162,62,4084.0,1016.0,46,583.5016656135302,48662.0,456.0,1.2010848508330103,84000046,USA,5500.650533143279,8.833785354513754
06-04,5247,64,4163.0,1020.0,46,593.1098875385883,52622.0,464.0,1.219744615971031,84000046,USA,5948.280636945988,8.843148465789975
