Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,1875,50,493.0,1825,11.0,265.6751905,10640.0,,2.666666667,84000011,USA,1507.618148,
04-13,1955,52,507.0,1903.0,11.0,277.0106652648463,10934.0,295.0,2.659846547314578,84000011,USA,1549.2760173942859,15.089514066496164
04-14,2058,67,518.0,1991.0,11.0,291.60508910000004,11518.0,295.0,3.2555879489999997,84000011,USA,1632.024983,14.33430515
04-15,2197,72,530.0,2125.0,11.0,311.3004765150216,11525.0,313.0,3.2771961766044617,84000011,USA,1633.0168374308716,14.246700045516613
04-16,2350,81,552.0,2269.0,11.0,332.97957205748787,12150.0,313.0,3.4468085106382977,84000011,USA,1721.5752342546716,13.319148936170215
04-17,2476,86,573.0,2390.0,11.0,350.832944857166,12643.0,313.0,3.4733441033925687,84000011,USA,1791.4300976692844,12.64135702746365
04-18,2666,91,608.0,2575.0,11.0,377.7546974916011,13268.0,313.0,3.413353338334584,84000011,USA,1879.9884944930843,11.740435108777197
04-19,2793,96,622.0,2697.0,11.0,395.7497637261973,13699.0,313.0,3.4371643394199785,84000011,USA,1941.0583649427767,11.206587898317222
04-20,2927,105,630.0,2822.0,11.0,414.73668400522,14113.0,402.0,3.58729074137342,84000011,USA,1999.7194469988626,13.734198838401095
04-21,3098,112,636.0,2986.0,11.0,438.9662613762117,14939.0,402.0,3.615235635894125,84000011,USA,2116.758224241197,12.976113621691413
04-22,3206,127,645.0,3079.0,11.0,454.26915234736435,15502.0,402.0,3.961322520274485,84000011,USA,2196.531628100075,12.538989394884592
04-23,3361,139,648.0,3222.0,11.0,476.2316347596667,15930.0,402.0,4.135673906575424,84000011,USA,2257.1764182450133,11.960725974412375
04-24,3528,153,651.0,3375.0,11.0,499.894438390986,16533.0,402.0,4.336734693877552,84000011,USA,2342.617559500616,11.39455782312925
04-25,3699,165,652.0,3534.0,11.0,524.1240157619777,17302.0,402.0,4.4606650446066505,84000011,USA,2451.579810952619,10.867802108678019
04-26,3841,178,657.0,3663.0,11.0,544.244483520345,18068.0,402.0,4.634209841187191,84000011,USA,2560.1169820998684,10.466024472793544
04-27,3892,185,659.0,3707.0,11.0,551.4708487011671,18416.0,402.0,4.753340184994862,84000011,USA,2609.4262974513604,10.328879753340184
04-28,3994,190,660.0,3804.0,11.0,565.9235790628113,18885.0,,4.757135703555333,84000011,USA,2675.8805184279395,
04-29,4106,205,660.0,3901.0,11.0,581.7932437736363,19229.0,,4.992693619094009,84000011,USA,2724.6230600397594,
04-30,4323,224,660,3439.0,11,612.5407191508596,20079.0,,5.181586860976174,84000011,USA,2845.062479720127,
05-01,4658,231,666,3761.0,11,660.0080198484162,21135.0,,4.959209961356805,84000011,USA,2994.6907469936195,
05-02,4797,240,666,3891.0,11,679.7034073020295,22004.0,,5.003126954346467,84000011,USA,3117.8223419374312,
05-03,5016,251,666,4099.0,11,710.7342695490889,23102.0,,5.003987240829347,84000011,USA,3273.401733477482,
05-04,5170,258,666,4246.0,11,732.5550585264732,23795.0,,4.990328820116054,84000011,USA,3371.595283875712,
05-05,5322,264,667.0,4391.0,11,754.0924606340213,24329.0,,4.96054114994363,84000011,USA,3447.259578121967,
05-06,5461,277,808.0,4376.0,11,773.7878480876344,24984.0,,5.0723310748947075,84000011,USA,3540.0687779933087,
05-07,5654,285,825.0,4544.0,11,801.1346810268241,25856.0,,5.040679165192784,84000011,USA,3663.6254532418743,
05-08,5899,304,825.0,4770.0,11,835.8495725817537,27115.0,,5.153415833192066,84000011,USA,3842.017487803738,
05-09,6102,311,879.0,4912.0,11,864.6133398701237,28183.0,,5.0966896099639465,84000011,USA,3993.346076296247,
05-10,6272,323,880.0,5069.0,11,888.7012238061974,29570.0,,5.149872448979592,84000011,USA,4189.874870527624,
05-11,6389,328,881.0,5180.0,11,905.2793556916127,30261.0,,5.1338237595867895,84000011,USA,4287.785034056017,
05-12,6485,336,886.0,5263.0,11,918.8819254437483,31050.0,,5.181187355435621,84000011,USA,4399.581154206382,
05-13,6584,350,934.0,5300.0,11,932.9095755006384,31658.0,,5.31591737545565,84000011,USA,4485.730762636575,
05-14,6736,358,966.0,5412.0,11,954.4469776081863,32999.0,,5.314726840855107,84000011,USA,4675.741658861721,
05-15,6871,368,975.0,5528.0,11,973.5755913221273,34339.0,,5.355843399796245,84000011,USA,4865.610861651947,
05-16,7042,375,998.0,5669.0,11,997.8051686931191,35532.0,,5.325191706901449,84000011,USA,5034.651129509217,
05-17,7123,383,1023.0,5717.0,11,1009.2823369214833,36526.0,,5.376947915204268,84000011,USA,5175.494403817788,
05-18,7270,392,1028.0,5850.0,11,1030.1112718544412,37825.0,,5.392022008253095,84000011,USA,5359.554175776374,
05-19,7434,400,1040.0,5994.0,11,1053.3489951810063,39374.0,,5.380683346785042,84000011,USA,5579.03730646448,
05-20,7551,407,1059.0,6085.0,11,1069.9271270664217,40419.0,,5.390014567606938,84000011,USA,5727.106945953873,
05-21,7788,412,1061.0,6315.0,11,1103.5084711420068,41756.0,,5.2901900359527465,84000011,USA,5916.551068439346,
05-22,7893,418,1069.0,6406.0,11,1118.3862818084046,42993.0,,5.29583174965159,84000011,USA,6091.8258474330105,
05-23,7966,427,1075.0,6464.0,11,1128.7299025574248,51991.0,,5.360281195079086,84000011,USA,7366.783374825894,
05-24,8110,432,1075.0,6603.0,11,1149.1337571856286,51991.0,,5.326757090012331,84000011,USA,7366.783374825894,
05-25,8225,440,1080.0,6705.0,11,1165.4285022012075,40803.0,,5.349544072948328,84000011,USA,5781.517224962416,
05-26,8334,440,1080.0,6814.0,11,1180.8730866072785,42055.0,,5.279577633789296,84000011,USA,5958.917405479852,
05-27,8406,445,1082.0,6879.0,11,1191.07501392138,42697.0,,5.293837734951224,84000011,USA,6049.884590697259,
05-28,8492,453,1082.0,6957.0,11,1203.260649324335,43514.0,,5.334432406971267,84000011,USA,6165.648127025331,
05-29,8538,460,1089.0,6989.0,11,1209.7785473305667,43858.0,,5.387678613258374,84000011,USA,6214.390668637149,
05-30,8717,462,1100.0,7155.0,11,1235.1416721809028,45629.0,,5.299988528163358,84000011,USA,6465.32974187707,
05-31,8801,466,1116.0,7219.0,11,1247.0439207140214,46483.0,,5.294852857629816,84000011,USA,6586.33593529711,
06-01,8857,468,1126.0,7263.0,11,1254.978753069434,47263.0,,5.28395619284182,84000011,USA,6696.856814533212,
06-02,8886,470,1137.0,7279.0,11,1259.0878626820586,47701.0,,5.289218996173757,84000011,USA,6758.9185390273315,
06-03,9016,473,1138.0,7405.0,11,1277.5080092214087,49562.0,,5.246228926353151,84000011,USA,7022.610021409878,
06-04,9120,475,1138.0,7507.0,11,1292.2441264528888,51096.0,,5.208333333333333,84000011,USA,7239.967750574213,
06-05,9199,479,1138.0,7582.0,11,1303.4379078114173,51861.0,,5.20708772692684,84000011,USA,7348.363228286544,
06-06,9269,483,1138.0,7648.0,11,1313.356448255683,53678.0,,5.2109181141439205,84000011,USA,7605.820199532695,
